Date,close,high,low,open,volume,symbol
2022-07-06,2771.53857421875,2778.8999932936836,2717.055087072438,2741.657550263476,2085735,ASIANPAINT
2022-07-07,2800.596435546875,2839.9215004356092,2786.455085648432,2810.282388822576,1469087,ASIANPAINT
2022-07-08,2789.3603515625,2797.3027844730364,2751.2945149915718,2789.5540232972107,1274148,ASIANPAINT
2022-07-11,2840.9384765625,2848.202941273128,2761.80428827608,2783.742877112794,1081885,ASIANPAINT
2022-07-12,2802.33984375,2831.4461794885924,2794.784753198655,2828.2982447983204,1115524,ASIANPAINT
2022-07-13,2848.832275390625,2875.710793327017,2834.158152079595,2856.387365564733,2153712,ASIANPAINT
2022-07-14,2846.846435546875,2862.0535690881543,2820.936514419629,2859.3899323367555,882479,ASIANPAINT
2022-07-15,2884.622314453125,2891.2572875751466,2848.106314933222,2857.307971292339,1668006,ASIANPAINT
2022-07-18,2923.07568359375,2930.0010460222275,2894.550360264433,2900.701035562005,823390,ASIANPAINT
2022-07-19,2924.286376953125,2928.0638043077624,2884.622207362035,2889.7558101191294,638171,ASIANPAINT
2022-07-20,2912.033203125,2949.0819722143087,2905.7858109261997,2937.749454846388,867436,ASIANPAINT
2022-07-21,2969.810546875,2988.068428873224,2887.382981071518,2887.382981071518,1184060,ASIANPAINT
2022-07-22,2971.069091796875,2995.6230769368526,2952.2784377992166,2969.810107101253,1268141,ASIANPAINT
2022-07-25,3007.439697265625,3019.304988774623,2955.8135244664786,2973.103043826111,985844,ASIANPAINT
2022-07-26,3010.87841796875,3050.881450195759,2957.1213801057083,2998.7709770086058,2876310,ASIANPAINT
2022-07-27,3085.9931640625,3092.7248542363136,2998.7711082729807,3021.000323554148,1976407,ASIANPAINT
2022-07-28,3169.631103515625,3176.9925222419097,3082.070184687121,3097.567709185862,1332572,ASIANPAINT
2022-07-29,3229.0546875,3249.007845925158,3172.1497117547806,3182.2230086164614,1836550,ASIANPAINT
2022-08-01,3220.143310546875,3249.6369879265117,3210.408881216818,3235.156536571573,1076122,ASIANPAINT
2022-08-02,3289.494873046875,3297.8248873163902,3221.1606629892353,3226.3909830827215,1650536,ASIANPAINT
2022-08-03,3331.628662109375,3339.7165272912407,3265.3768395100337,3297.0983349476173,1169005,ASIANPAINT
2022-08-04,3351.82421875,3367.757565010698,3303.781794656203,3346.496944308987,981434,ASIANPAINT
2022-08-05,3364.802978515625,3382.2861702501514,3343.1550163426145,3365.868527890813,792478,ASIANPAINT
2022-08-08,3349.837890625,3367.756901121469,3328.6257511671993,3356.1822362305975,724644,ASIANPAINT
2022-08-10,3304.508056640625,3341.5085862344386,3289.3496348034273,3332.936423250469,1089295,ASIANPAINT
2022-08-11,3298.2607421875,3368.726051841802,3283.5381405922226,3341.6538598947395,1410533,ASIANPAINT
2022-08-12,3320.19970703125,3326.9313975040973,3276.758110445559,3292.2556362413407,548472,ASIANPAINT
2022-08-16,3391.052001953125,3399.236584597453,3346.7872459089813,3361.025548922406,911189,ASIANPAINT
2022-08-17,3413.0390625,3434.299681113302,3394.539034960715,3407.469639767838,817912,ASIANPAINT
2022-08-18,3424.323486328125,3431.4425198946483,3405.1452521052847,3414.2984303899357,599877,ASIANPAINT
