,Date,vix
61,2019-04-02,18.079999923706055
62,2019-04-03,18.780000686645508
63,2019-04-04,18.649999618530273
64,2019-04-05,18.389999389648438
65,2019-04-08,20.149999618530273
66,2019-04-09,20.280000686645508
67,2019-04-10,21.1299991607666
68,2019-04-11,20.959999084472656
69,2019-04-12,21.0
70,2019-04-15,21.389999389648438
71,2019-04-16,21.690000534057617
72,2019-04-18,22.739999771118164
73,2019-04-22,24.049999237060547
74,2019-04-23,24.649999618530273
75,2019-04-24,23.709999084472656
76,2019-04-25,23.229999542236328
77,2019-04-26,21.719999313354492
78,2019-04-30,21.829999923706055
79,2019-05-02,22.979999542236328
80,2019-05-03,24.030000686645508
81,2019-05-06,26.43000030517578
82,2019-05-07,26.479999542236328
83,2019-05-08,26.3700008392334
84,2019-05-09,25.489999771118164
85,2019-05-10,26.34000015258789
86,2019-05-13,27.3799991607666
87,2019-05-14,27.1299991607666
88,2019-05-15,28.65999984741211
89,2019-05-16,28.3700008392334
90,2019-05-17,28.079999923706055
91,2019-05-20,23.68000030517578
92,2019-05-21,25.649999618530273
93,2019-05-22,27.6299991607666
94,2019-05-23,19.40999984741211
95,2019-05-24,16.469999313354492
96,2019-05-27,16.190000534057617
97,2019-05-28,15.920000076293945
98,2019-05-29,16.40999984741211
99,2019-05-30,15.609999656677246
100,2019-05-31,16.06999969482422
101,2019-06-03,15.970000267028809
102,2019-06-04,15.630000114440918
103,2019-06-06,15.529999732971191
104,2019-06-07,14.859999656677246
105,2019-06-10,14.979999542236328
106,2019-06-11,14.489999771118164
107,2019-06-12,14.119999885559082
108,2019-06-13,13.65999984741211
109,2019-06-14,13.899999618530273
110,2019-06-17,14.649999618530273
111,2019-06-18,14.600000381469727
112,2019-06-19,14.729999542236328
113,2019-06-20,14.0
114,2019-06-21,14.609999656677246
115,2019-06-24,15.220000267028809
116,2019-06-25,15.010000228881836
117,2019-06-26,14.75
118,2019-06-27,14.649999618530273
119,2019-06-28,14.949999809265137
120,2019-07-01,14.600000381469727
121,2019-07-02,14.25
122,2019-07-03,13.699999809265137
123,2019-07-04,13.529999732971191
124,2019-07-05,13.069999694824219
125,2019-07-08,13.850000381469727
126,2019-07-09,13.6899995803833
127,2019-07-10,13.640000343322754
128,2019-07-11,12.470000267028809
129,2019-07-12,12.0
130,2019-07-15,12.020000457763672
131,2019-07-16,11.5600004196167
132,2019-07-17,11.800000190734863
133,2019-07-18,11.75
134,2019-07-19,12.520000457763672
135,2019-07-22,13.010000228881836
136,2019-07-23,13.430000305175781
137,2019-07-24,12.760000228881836
138,2019-07-25,12.640000343322754
139,2019-07-26,12.130000114440918
140,2019-07-29,13.0600004196167
141,2019-07-30,13.609999656677246
142,2019-07-31,13.59000015258789
143,2019-08-01,14.5600004196167
144,2019-08-02,15.1899995803833
145,2019-08-05,16.59000015258789
146,2019-08-06,16.1200008392334
147,2019-08-07,16.739999771118164
148,2019-08-08,16.09000015258789
149,2019-08-09,15.850000381469727
150,2019-08-13,17.780000686645508
151,2019-08-14,16.360000610351562
152,2019-08-16,16.649999618530273
153,2019-08-19,16.75
154,2019-08-20,16.6299991607666
155,2019-08-21,17.020000457763672
156,2019-08-22,17.850000381469727
157,2019-08-23,17.350000381469727
158,2019-08-26,16.65999984741211
159,2019-08-27,16.010000228881836
160,2019-08-28,16.84000015258789
161,2019-08-29,16.43000030517578
162,2019-08-30,16.280000686645508
163,2019-09-03,18.059999465942383
164,2019-09-04,17.239999771118164
165,2019-09-05,17.270000457763672
